postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
4000,Roskilde,Roskilde Bibliotekerne,Roskilde Bibliotekerne,Dronning Margrethes Vej 14 Postbox 229,55.64191,Folkebibliotek,726500,12.087845,Roskilde Bibliotek
4000,Roskilde,Roskilde Bogbus,Roskilde Bibliotekerne,"Dronning Margrethes Vej 14
Postbox 229",55.64191,Folkebibliotek,726501,12.087845,Bogbussen
4040,Jyllinge,Jyllinge Bibliotek,Roskilde Bibliotekerne,Bygaden 19 Box 63,55.748496,Folkebibliotek,726502,12.110293,Jyllinge Bibliotek
4000,Roskilde,Gundsømagle,Roskilde Bibliotekerne,"Rosentorvet 8
Gundsømagle",55.7371036,Folkebibliotek,726503,12.1489658,Gundsømagle Bibliotek
4000,Roskilde,Ågerup Bibliotek,Roskilde Bibliotekerne,Gundsølillevej 2 Ågerup,55.693047,Folkebibliotek,726504,12.1608129,Ågerup Bibliotek
4130,Viby Sj.,Viby Sj. Bibliotek,Roskilde Bibliotekerne,Tofthøjvej 11,55.547563,Folkebibliotek,726505,12.02673,Viby Bibliotek
4621,Gadstrup,Gadstrup,Roskilde Bibliotekerne,Nyvej 40,55.573022,Folkebibliotek,726506,12.09189,Gadstrup Bibliotek
2680,Solrød Strand,Solrød Bibliotek,Solrød Bibliotek,Solrød Center 4,55.516667,Folkebibliotek,726900,12.216667,Solrød Bibliotek
4622,Havdrup,Havdrup,Solrød Bibliotek,Møllemarken 6,55.543879,Folkebibliotek,726901,12.115475,Havdrup afhentningssted. Møllemarken 6
3200,Helsinge,Gribskov Biblioteker,Gribskov kommunes biblioteker,Skolegade 43,56.026634,Folkebibliotek,727000,12.192295,Helsinge Bibliotek
3220,Tisvildeleje,Tisvilde åbent bibliotek,Gribskov kommunes biblioteker,Tisvilde Bygade 37,56.056382,Folkebibliotek,727002,12.0914,Skt. Helene Skole Tisvilde. Åbent bibliotek
3210,Vejby,Vejby Servicepunkt,Gribskov kommunes biblioteker,"Sankt Helene Skole,
Femgårdsvej 6",56.0649045,Folkebibliotek,727003,12.1348267,Gribskov Kommunes servicepunkt på Sankt Helene Skole Vejby
3250,Gilleleje,Gilleleje Bibliotek,Gribskov kommunes biblioteker,Peter Fjelstrups Vej 12,56.125847,Folkebibliotek,727004,12.296319,Gilleleje Bibliotek
3230,Græsted,Græsted Bibliotek,Gribskov kommunes biblioteker,Græsted Stationsvej 10 A,56.0669862,Folkebibliotek,727005,12.2819663,BLIK- Græsted Bibliotek
4500,Nykøbing Sjælland,Odsherred Bibliotek,Odsherred Bibliotek og Kulturhuse,Vesterbro Torv,55.9225568,Folkebibliotek,730600,11.6654828,Nykøbing Sj. Bibliotek
4550,Asnæs,Asnæs Bibliotek,Odsherred Bibliotek og Kulturhuse,Centervejen 91,55.8110436,Folkebibliotek,730601,11.5031103,Asnæs Bibliotek
4560,Vig,Vig Bibliotek,Odsherred Bibliotek og Kulturhuse,Ravnsbjergvej 23A,55.8530832,Folkebibliotek,730602,11.5758292,Vig Bibliotek
4534,Hørve,Hørve,Odsherred Bibliotek og Kulturhuse,Vallekildevej 8,55.7525466,Folkebibliotek,730603,11.4533357,Hørve Bibliotek
4581,Rørvig,Rørvig Bibliotek,Odsherred Bibliotek og Kulturhuse,Vestergade 24,55.941375,Folkebibliotek,730604,11.7504198,Rørvig Bibliotek
4583,Sj. Odde,Sjællands Odde,Odsherred Bibliotek og Kulturhuse,Skoletoften 7,,Folkebibliotek,730605,,Odden Bibliotek
4500,Nykøbing Sj.,Egebjerg,Odsherred Bibliotek og Kulturhuse,Egebjerg Hovedgade 30,,Folkebibliotek,730610,,Egebjerg Demokratek
4300,Holbæk,Holbæk Bibliotek,Holbæk Bibliotek,Nygade 9-13,55.7168665,Folkebibliotek,731600,11.7091302,Holbæk Bibliotek
4450,Jyderup,Jyderup Bibliotek,Holbæk Bibliotek,Skarridsøgade 37,55.6598974,Folkebibliotek,731601,11.3983369,Jyderup Bibliotek
4520,Svinninge,Svinninge Bibliotek,Holbæk Bibliotek,Hovedgaden 59,55.7219028,Folkebibliotek,731602,11.4615303,Svinninge Bibliotek
4340,Tølløse,Tølløse Bibliotek,Holbæk Bibliotek,Hjortholmvej 9,55.616226,Folkebibliotek,731603,11.761498,Tølløse Bibliotek
4300,Holbæk,Orø Bibliotek,Holbæk Bibliotek,Bygaden 50,55.766702,Folkebibliotek,731605,11.807179,Orø Bibliotek
4340,Tølløse,Undløse Afhentningssted,Holbæk Bibliotek,"Datastuen
Østergårdsvej 49, Undløse",55.603692,Folkebibliotek,731621,11.587638,Undløse
4690,Haslev,Haslev Bibliotek,Faxe Kommunes Biblioteker & Borgerservice,Jernbanegade 62,55.324601,Folkebibliotek,732000,11.96355,Haslev Bibliotek & Borgerservice
4640,Faxe,Faxe Bibliotek,Faxe Kommunes Biblioteker & Borgerservice,Rådhusvej 4,55.251191,Folkebibliotek,732001,12.120191,Faxe Bibliotek & Borgerservice
4653,Karise,Karise MikroBibliotek,Faxe Kommunes Biblioteker & Borgerservice,"SuperBrugsen, 
Syrenvænget 20",55.303779,Folkebibliotek,732010,12.1992939,Karise MikroBibliotek
4683,Rønnede,Rønnede MikroBibliotek,Faxe Kommunes Biblioteker & Borgerservice,"SuperBest
Vordingborgvej 517",55.259224,Folkebibliotek,732011,12.021819,Rønnede MikroBibliotek
